name,description,image,external_url,Membership No.,Membership Type
Membro NFT #38,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #38,Regular
Membro NFT #39,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #39,Regular
Membro NFT #40,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #40,Regular
Membro NFT #41,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #41,Regular
Membro NFT #42,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #42,Regular
Membro NFT #43,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #43,Regular
Membro NFT #44,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #44,Regular
Membro NFT #45,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #45,Regular
Membro NFT #46,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #46,Regular
Membro NFT #47,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #47,Regular
Membro NFT #48,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #48,Regular
Membro NFT #49,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #49,Regular
Membro NFT #50,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #50,Regular
Membro NFT #51,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #51,Regular
Membro NFT #52,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #52,Regular
Membro NFT #53,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #53,Regular
Membro NFT #54,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #54,Regular
Membro NFT #55,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #55,Regular
Membro NFT #56,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #56,Regular
Membro NFT #57,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #57,Regular
Membro NFT #58,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #58,Regular
Membro NFT #59,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #59,Regular
Membro NFT #60,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #60,Regular
Membro NFT #61,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #61,Regular
Membro NFT #62,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #62,Regular
Membro NFT #63,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #63,Regular
Membro NFT #64,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #64,Regular
Membro NFT #65,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #65,Regular
Membro NFT #66,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #66,Regular
Membro NFT #67,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #67,Regular
Membro NFT #68,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #68,Regular
Membro NFT #69,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #69,Regular
Membro NFT #70,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #70,Regular
Membro NFT #71,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #71,Regular
Membro NFT #72,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #72,Regular
Membro NFT #73,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #73,Regular
Membro NFT #74,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #74,Regular
Membro NFT #75,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #75,Regular
Membro NFT #76,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #76,Regular
Membro NFT #77,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #77,Regular
Membro NFT #78,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #78,Regular
Membro NFT #79,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #79,Regular
Membro NFT #80,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #80,Regular
Membro NFT #81,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #81,Regular
Membro NFT #82,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #82,Regular
Membro NFT #83,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #83,Regular
Membro NFT #84,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #84,Regular
Membro NFT #85,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #85,Regular
Membro NFT #86,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #86,Regular
Membro NFT #87,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #87,Regular
Membro NFT #88,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #88,Regular
Membro NFT #89,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #89,Regular
Membro NFT #90,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #90,Regular
Membro NFT #91,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #91,Regular
Membro NFT #92,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #92,Regular
Membro NFT #93,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #93,Regular
Membro NFT #94,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #94,Regular
Membro NFT #95,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #95,Regular
Membro NFT #96,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #96,Regular
Membro NFT #97,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #97,Regular
Membro NFT #98,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #98,Regular
Membro NFT #99,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #99,Regular
Membro NFT #100,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #100,Regular
Membro NFT #101,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #101,Regular
Membro NFT #102,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #102,Regular
Membro NFT #103,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #103,Regular
Membro NFT #104,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #104,Regular
Membro NFT #105,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #105,Regular
Membro NFT #106,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #106,Regular
Membro NFT #107,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #107,Regular
Membro NFT #108,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #108,Regular
Membro NFT #109,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #109,Regular
Membro NFT #110,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #110,Regular
Membro NFT #111,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #111,Regular
Membro NFT #112,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #112,Regular
Membro NFT #113,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #113,Regular
Membro NFT #114,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #114,Regular
Membro NFT #115,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #115,Regular
Membro NFT #116,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #116,Regular
Membro NFT #117,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #117,Regular
Membro NFT #118,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #118,Regular
Membro NFT #119,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #119,Regular
Membro NFT #120,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #120,Regular
Membro NFT #121,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #121,Regular
Membro NFT #122,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #122,Regular
Membro NFT #123,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #123,Regular
Membro NFT #124,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #124,Regular
Membro NFT #125,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #125,Regular
Membro NFT #126,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #126,Regular
Membro NFT #127,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #127,Regular
Membro NFT #128,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #128,Regular
Membro NFT #129,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #129,Regular
Membro NFT #130,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #130,Regular
Membro NFT #131,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #131,Regular
Membro NFT #132,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #132,Regular
Membro NFT #133,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #133,Regular
Membro NFT #134,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #134,Regular
Membro NFT #135,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #135,Regular
Membro NFT #136,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #136,Regular
Membro NFT #137,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #137,Regular
Membro NFT #138,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #138,Regular
Membro NFT #139,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #139,Regular
Membro NFT #140,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #140,Regular
Membro NFT #141,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #141,Regular
Membro NFT #142,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #142,Regular
Membro NFT #143,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #143,Regular
Membro NFT #144,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #144,Regular
Membro NFT #145,A dummy NFT membership collection of 500 unique metadata with one image only as a representation. This is for testing purposes only and not real NFT membership collection.,0.png,https://github.com/warengonzaga/nft-dummy-assets,Member #145,Regular
